text,label_text,language,source,label
ارتش جمهوری اسلامی یکی از بی غیرت ترین بی رگ ترین بیشرف ترین ارتشهای فعلی کره زمینه تردید نداشته باش کصشر نگو اقامیری ارتش فلان و بیصاره تو هم یکی مثل اونا اگه ذره ای شرف توشون بود که چهار تا حرومزاده رژیم کودک کش جا که به هیچکس و هیچ چیزی اعتقاد ندارن اینطوری با تیر جنگی بچه هفت ساله نمیکشتن و به نوامیس تجاوز نمیکردن اخوند تبحرش اینه که هر کسیکه وارد نیروهای نظامی و حوزه علمیه میشه رو طی سالها غیرتشون رو میمکه و تهی از شرف میکنه اونا رو وگرنه مگه مقدوره همچین چیزی که ببینی و تماشاگر باشی و به رگ غیرتت برنخوره؟ ارتشی وجود نداره یه مشت ترسوی بزدل بیغیرت پادگان ها رو پر کردن,hateful,fa,phicad,2
افرین دمت گرم به خدا حرف همه مردم رو توو چند دقیقه گفتین شما درود به شرف شما و ملت بزرگ ایران,safe,fa,phicad,0
بی غیرت ترینی پسر,hateful,fa,phicad,2
ای دزد پدر نامرد,hateful,fa,phicad,2
RT @AssholeOfDaYear: Always a bit of irony in the air when chicks call strippers hoes then grind on yo dick 4 free to the same song stri ...,sensitive,en,hate_speech_offensive,1
"اونایی که خودشونو انقلابی میدونن ولی میرن مهناز افشار و تاجزاده و زیباکلام و بدتر از همه اسرائیل نجسو لایک میکنن واقعا چشونه؟
همتون آنفالویید ⁦✋🏻⁩
ما با کسی که هم عمر و عاص و معاویه رو قبول داره هم تو هیئت علی(ع) سینه میزنه هیچ کاری نداریم، اینطور آدما رو منافق می‌دونیم
یا علی",sensitive,fa,phate,1
عاشق بمونیین 🔥,safe,fa,phicad,0
@elchavaloko who cares tbh ones a shitty dirty Argentino &amp; the other is a feather fisted nigger,hateful,en,hate_speech_offensive,2
اول اخرتونو 😍,sensitive,fa,phicad,1
ساقیش کیه بیاد اعتراف کنه,hateful,fa,phicad,2
"@RottenStench 
Tanks a lot dare mr. Pubes. I love my Uncle Tom :)",sensitive,en,hate_speech_offensive,1
@Herfarm Move out of our country teabaggers!,hateful,en,hate_speech_offensive,2
وزیر دروغ و کثافت و لجن,hateful,fa,phicad,2
بابام محکم میکنه مامانمو 😐,sensitive,fa,phicad,1
I'm never gonna be ok with my nigga around alot of bitches while with his boys. Cause I was once that female your boys put you on !!,sensitive,en,hate_speech_offensive,1
"خوشم‌میاد طرفداراشم‌مثل خودش احمق و متوهمن،این روش واسه مهم جلوه دادن افراد یکم‌قدیمی شده،به روشای دیگه متوسل بشید،آخه این دوزاریو کی ترور میکنه
هر چنو بعید نیست بازی انتخاباتی باشه واسه تحریک مردم
#احمدي_نژاد",sensitive,fa,phate,1
استاد عزیز خداوند حافظتون ❤️ ❤️ ❤️,safe,fa,phicad,0
@USER @USER دقت نکردید. گفت همه 18 نفر مرد ریشو باکتری زیادی داشتند و حتی 7 نفرشان در معرض بیماری بودند. در حالی که فقط 23 سگ از 30 سگ به اندازه 18 مرد آلوده به باکتری بوده اند. یعنی 76درصد در مقابل 100درصد.,hateful,fa,pars_off,2
کاخ داره زحمت کشیده مثل شما که اختلاس وپول مردم نبرده,hateful,fa,phicad,2
@TheREALJB1RD Gotta get my superbowl shirt at the cleaners then we hitting the big bird.,safe,en,hate_speech_offensive,0
There's like 5 injuries a game in football.. Shit trash lol,sensitive,en,hate_speech_offensive,1
&#8220;@HeyKeifer: Golden Oreos &#128016; regular Oreos &#128686;&#8221; YES!!!,safe,en,hate_speech_offensive,0
لعنت بر تو اون پدر کوس کشت که تو رو یه کلاهبردار کثیف تربیت کرد و تحویل جامعه داد تا به خاطر پول جمع کردن دست به هر کار کثیفی میزنید بعد ادای ادمهای خوب رو در میارید لعنت خدا بر شما ,hateful,fa,phicad,2
"وحید یامین پور @yaminpour گفته بود اینها که با روسری چرخاندن در هوا به چرخاندن شرت هم میرسند کسی باور نکرد! 
#مهاباد",safe,fa,phate,0
هی حرف مفت بزنین,hateful,fa,phicad,2
لال ازدنیا بری ,hateful,fa,phicad,2
حقته مزدور,hateful,fa,phicad,2
@USER می بینم که حالت خوب شده و برگشتی . برات آروزی سلامتی میکنم پهلوان علیرضا. پوریای ولی ما هستی. دمت گرم که در جشن ما شریک شدی. آسیا هم قهرمان میشم . به سلامتی تو,safe,fa,pars_off,0
"برای گل گرفتن دهن امثال رائفی پور که این حکومت کم پرورش نداده . 
#مهسا_امینی 
#OpIran 
#زن_زندگی_آزادی https://t.co/DoyWgE4xun",hateful,fa,phate,2
برای ازادی برای شروین مهسا امینی باوان لطفی,safe,fa,phicad,0
خداروشکر چه رگ و رو اومده اقای غفوریان جوون شده پوستش صاف شده و یکم تپل 🙏 👏 👌 👌 ❤,safe,fa,phicad,0
درود سیدجان خیلی بر دل نشست 🖤 🖤,safe,fa,phicad,0
چرا نمیمیری بشکه عن؟,hateful,fa,phicad,2
خدا بیامرزه روحش شاد 😢 🖤,safe,fa,phicad,0
نوش جونت پوفیوز,hateful,fa,phicad,2
RT @USER: فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک فاک…,hateful,fa,pars_off,2
Got ketchup on my swim trunks... Sum bitch,sensitive,en,hate_speech_offensive,1
تخفیفان حیا کن,hateful,fa,phicad,2
RT @kiddsmy_pyt: You have a new boyfriend every week.. Tf you doin hoe?,hateful,en,hate_speech_offensive,2
حقوق زنان,safe,fa,phicad,0
اع گوز,hateful,fa,phicad,2
5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,hateful,en,hate_speech_offensive,2
لعنتی ی بارقبلش می خوندی بی سواد,hateful,fa,phicad,2
RT @FoodTabloid: Oreo cake http://t.co/iJ0idCAQMl,safe,en,hate_speech_offensive,0
I was in love with Charlie &#128553;,safe,en,hate_speech_offensive,0
این پست هم به خاطر سر زبون اومدن گذاشتی نه حمایت,hateful,fa,phicad,2
بد میره بدتر میاد لعنت بهتون دیگ خستمون کردید,hateful,fa,phicad,2
علی شریفی زارچی هم خایه مال داره. مادر قشر دانشجوی روشنفکر رو گاییدم,sensitive,fa,phate,1
@TylerCarboner hey I'll leave Abbey too! Oh if I get a job on the slope I might move back! Cause id lose out on lots of money buying tickets,safe,en,hate_speech_offensive,0
"RT @CzickenShack: I'm finally ready to mass market my skidmark-resistant tighty whities, but apparently ""Uncrustables"" is already taken. Fu&#8230;",safe,en,hate_speech_offensive,0
اين الان كجاست اصلا؟! @URL,safe,fa,pars_off,0
RT @lil_tataaa: Somebody call an ambulance because these bitches dieing for attention,sensitive,en,hate_speech_offensive,1
@USER شرم-آوره. اه اه,sensitive,fa,pars_off,1
"RT @iowahawkblog: ""I love cripples! Look at all these fucking cripples! Goddamit I'm a people person!"" https://t.co/XCLA5xPmLX",hateful,en,hate_speech_offensive,2
I titty wrecked ya bitch.,sensitive,en,hate_speech_offensive,1
سایت مستداام اسطوره کار بلد و بااخلاق 😍 ❤️,safe,fa,phicad,0
"Lol, so since I'm from the south I automatically sound like a fucking redneck. Hahahaha how about fuck you, stupid ass.",hateful,en,hate_speech_offensive,2
"استقبال مردم نیمه ی شب از ورزشکار با شرف ( الناز رکابی)
Vs
جا گذاشتن ورزشکار بی شرف از اتوبوس بازیکنا ( مهدی ترابی و وحید امیری)🤣
.
.
خاااک برسر الاغتون حکومتی های جیره خوار
#الناز_رکابی #مهسا_امینی
#مهدی_ترابی
#وحیدامیری",sensitive,fa,phate,1
سوتین دکولته زدی سینه هم نداری,sensitive,fa,phicad,1
مارتین فوردم دید که باقالی هستی بیخیالت شد,hateful,fa,phicad,2
"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",hateful,en,hate_speech_offensive,2
"خداروشکر، امیدوارم تو حسرت پدر شدن از دنیا بری نسلت منقرض بشه. یه لجن ماله کش نظام که نون تو خون مردمش میزنه نباید زاد و ولد کنه
#مهسا_امینی 
#نه_به_جمهورى_اسلامى 
#نه_به_حجاب_اجباری 
#مرگ_بر_کلیت_و_تمامیت_جمهوری_اسلامی https://t.co/5uG2ivKmDc",hateful,fa,phate,2
کف پاهاتو لیس بزنم بانو 😍,sensitive,fa,phicad,1
جمع کنید این دروغ هارو,hateful,fa,phicad,2
RT @Drizz_LakerKing: Horrible RT @YeIIowbang: Invader Zim was trash,hateful,en,hate_speech_offensive,2
On UPenn campus all the black chicks here are trash but they're gonna be paid,hateful,en,hate_speech_offensive,2
"RT @JustOneAsian: To every bug i have ever killed: i am sorry :/ 

&#8230;..sorry that ur bitch asses came into my house uninvited",sensitive,en,hate_speech_offensive,1
RT @JaworskiMeats: Winning Browns! #cle #clevelandfans #clevelandpride #clevelandbrowns #clevelandsports #browns #brownie&#8230; http://t.co/Gm4h&#8230;,safe,en,hate_speech_offensive,0
They got David taking out the trash &#128514;&#128514;&#128514;&#128514;,safe,en,hate_speech_offensive,0
@USER دقیقا منم همین جوری خونه تحویل گرفتم پر از اشغال و کثافت و خراب شدن خیلی از چیزا،تازه بدون اضافه کردن پول پیش و کرایه شش ماه بیشتر نشستن ،آخرش هم شاکی شد،خوبی به بعضی ها نیامده,sensitive,fa,pars_off,1
They slut for me they kill for me they steal for me and of course it'll be yo cash and I'll murder that bitch send the body back to yo ass,hateful,en,hate_speech_offensive,2
"Fuccn yo bitch last night she say ""you the nigga!!'",sensitive,en,hate_speech_offensive,1
چققدر مثل همیشه خوب درخشیدید جناب رادان ❤️ ❤️ ❤️ ❤️,safe,fa,phicad,0
RT @SooMonique: And she gave this nigga head while I was laying next to her while she had a bf &#128514;&#128514;&#128514;&#128514; she's a hoe on the low,sensitive,en,hate_speech_offensive,1
خیلی دلم می‌خواد لخت مادرزاد برم بیرون و به تخم هیچ کس هم نباشم.,sensitive,fa,pars_off,1
دمت گرم با شرف,safe,fa,phicad,0
درود بر جادوگر بزرگ ❤️ ❤️ ❤️ ❤️,safe,fa,phicad,0
RT @ivanrabago_: @staycoolwheels @Studhardt22 Joshua is a faggot. Just suspend him on those grounds,hateful,en,hate_speech_offensive,2
زود خوب شو مهسای عزیزم 😔,safe,fa,phicad,0
"RT @ghostattics: ""what can banks do to show engagement with the queer community?"" ""HIRE TRANS WOMEN""",hateful,en,hate_speech_offensive,2
Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.,hateful,en,hate_speech_offensive,2
RT @_LastQueenCyn_: Niggas be in that pussy like http://t.co/DDJSB5itcD,sensitive,en,hate_speech_offensive,1
"&#8220;@IdLikeToCare: @idpetition Wow, putting a whole manifesto up using TwitLonger. 

And by a Canadian. Hey hoser....how many will you adopt?",sensitive,en,hate_speech_offensive,1
"RT @milesfan79: realest tweet i seen today RT @SoopSoo: &#8230;. Dyke bitches are rehab for hoes.And once im healed,back to the dick I go",hateful,en,hate_speech_offensive,2
"My clothes are always retro, sexual like im hetro, and I play a bitch like nintendo, takee her for a ride in my benzo.

-@dillyduzit",sensitive,en,hate_speech_offensive,1
بای بای تپسی 🙌 تحریم تپسی,hateful,fa,phicad,2
@xLoiterSquadx i made you lunch you fat faggot &#128128;,hateful,en,hate_speech_offensive,2
"A white lighter is bad luck, not yellow ur stupid",safe,en,hate_speech_offensive,0
هنرمندا خفه خون گرفتن,hateful,fa,phicad,2
even though my baby is an invisible non existent bitch,sensitive,en,hate_speech_offensive,1
Jihadi propaganda ploy:US had Gulf countries publish pics of their pilots 2 deflect Sunnis anger from itself &amp; iran http://t.co/pFxYby2c15,safe,en,hate_speech_offensive,0
میدرخشی سلطان ❤️,safe,fa,phicad,0
"ینی اینجا خنده اس ک رائفی پور الان درگیر طلاق از زنشه بخاطر اینکه با یه خانوم دیگ مچش و گرفتن، بعد اومده tvبه قول خودشون ملی از هیجانات حرف زده، حاجی بکش کنار دیگ  بسه انقد احمق بودن و خر جلوه دادن خودت
#مهسا_امینی
#اعتصابات_سراسری
#OpIran https://t.co/jVgs4rnpSd",sensitive,fa,phate,1
"RT @tnicolle_rauzi: We always bitch about the opposite sex when we're equally just as scandalous. Not all, but a large sum. Hypocrisy at it&#8230;",sensitive,en,hate_speech_offensive,1
"از آقای جورجی اینترنتی می خواهیم حسن عباسی و رایفی پور را کنترل کنند، برای یک اجتماع عادی هم این دو خطرناک هستند!
#جدی",sensitive,fa,phate,1
RT @EvilMikeTomlin: Came to training camp today to find Charlie Batch asleep on the curb...,safe,en,hate_speech_offensive,0
"I'm literally laughing in shock, amazement, joy. In...just everything. In everything! Pop the champagne American queers. We have arrived.",hateful,en,hate_speech_offensive,2
سایز بزرگ بیاد 🔥 🔥,sensitive,fa,phicad,1
حداقل ی مشت می‌زدی,hateful,fa,phicad,2
♥️ ♥️ ♥️ ♥️ ♥️ اره والا 👏 👏,safe,fa,phicad,0
"@NYRKelsMads @davidortiz @BarackObama 
I likes da Yankees",safe,en,hate_speech_offensive,0
😂 😂 خداقوت دلاور,hateful,fa,phicad,2
Everybody is being a bitch at my house,sensitive,en,hate_speech_offensive,1
ای دست خر,hateful,fa,phicad,2
I like taking niggas hoes but I stop doing that &#9995;,hateful,en,hate_speech_offensive,2
بهتره شما سکوت کنی و حرف نزنی,hateful,fa,phicad,2
تسلیت ایذه,safe,fa,phicad,0
🌹 🙏 سلام ای بزرگوار,safe,fa,phicad,0
@tarbetto. Find one where be beat Nathan Moons head into the ice too. Ol Andrew is straight trash as far as hockey.,safe,en,hate_speech_offensive,0
زنده بادشیرمردبزرگ ایران بخدا خیلی اقای به امید روزهای بهتر وتمام شدن غم,safe,fa,phicad,0
Sounds like a hoe,sensitive,en,hate_speech_offensive,1
@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.,hateful,en,hate_speech_offensive,2
لاغر نشین ☹ ❤️,safe,fa,phicad,0
درود اینجا کجاست؟,safe,fa,phicad,0
Brownies brownies brownies,safe,en,hate_speech_offensive,0
@lil_TR1LL can't wait 2 see my bitch tmrw #gatsby #l00py,sensitive,en,hate_speech_offensive,1
حسن اقا عشقی تو,safe,fa,phicad,0
"@GWDrums @samzbikowski Oh, wait! *""can I get that photo of me playin with Creed's SIDE PROJECT by itself?"" My bad. Yeah, FOB is embarrassing",safe,en,hate_speech_offensive,0
به اون مادر سخت گیرت بگو ریدم تو اون سلیقه کیریت با اون مبلای تخمی و رنگ کیریشون.,hateful,fa,pars_off,2
@kittty_jpg @SteeZeyFLOW @nosfiend215 at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,hateful,en,hate_speech_offensive,2
سلام امیدوارم روزی بتونم بیام خارج ازنزدیک ببینمتون شادمهر عزیز خیلی دوست تون دارم ❤️ ❤️,safe,fa,phicad,0
همیشه منفور بودی و هستی,hateful,fa,phicad,2
دوستان عزیز هم اکنون گاو,hateful,fa,phicad,2
‌روحانی میگه گران شدن بنزین به نفع مردمه.  مطهری میگه چند همسری به نفع زن‌هاست.    جان مادرتون بیاین به ضرر مردم کار کنین، دردش کمتره!,sensitive,fa,pars_off,1
@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,hateful,en,hate_speech_offensive,2
زرت 🤣 🤣,hateful,fa,phicad,2
RT @TheFakeESPN: Red Hot Chili Peppers with the longest nip-slip in Super Bowl Half Time Show history.,safe,en,hate_speech_offensive,0
مرگ بر ولایت فقیه,hateful,fa,phicad,2
@illbreatheyouin happy birthday faggot.,hateful,en,hate_speech_offensive,2
برای تو هم حلاله بیا بخور,sensitive,fa,phicad,1
فقط ابی خودمون 😍 😍 ❤ ❤,safe,fa,phicad,0
